,tp,tn,fp,fn
P,0,50482,10,185
UNK,0,45174,5503,0
PRP,1972,32340,10743,5622
DET,2066,31518,11874,5219
NUM,4,49299,105,1269
ADJ,32,47529,321,2795
N,2808,28748,11978,7143
V,191,42926,1286,6274
R,0,50595,0,82
J,0,50590,7,80
PU,156,43606,1202,5713
PMDB,0,50676,0,1
ADV,11,48119,186,2361
T,0,50605,0,72
PT,0,50676,0,1
C,0,50527,5,145
L,0,50605,9,63
SDB,0,50675,0,2
S,0,50140,5,532
KC,4,49346,66,1261
PPR,0,50677,0,0
PF,0,50677,0,0
B,0,50465,7,205
H,0,50605,1,71
F,0,50520,0,157
E,0,50551,1,125
SPEC,2,49912,26,737
PROP,0,50667,0,10
W,0,50645,0,32
A,0,50490,3,184
PERS,2,49764,25,886
US,0,50624,1,52
KS,2,49888,45,742
IPMF,0,50677,0,0
OAB,0,50677,0,0
M,0,50477,5,195
EC,0,50676,0,1
PI,0,50677,0,0
G,0,50605,0,72
U,0,50647,0,30
O,0,50643,0,34
IN,0,50666,0,11
D,0,50587,4,86
I,0,50557,4,116
PC,0,50677,0,0
HERBERT,0,50676,1,0
SOUZA,0,50677,0,0
IB,0,50673,0,4
PDS,0,50677,0,0
LAMOUNIER,0,50677,0,0
K,0,50654,0,23
DF,0,50677,0,0
SP,0,50661,0,16
BA,0,50677,0,0
Y,0,50669,0,8
PFL,0,50675,0,2
MA,0,50677,0,0
SE,0,50677,0,0
RV,0,50673,0,4
BNDES,0,50677,0,0
CDB,0,50677,0,0
IOF,0,50675,0,2
PSDB,0,50677,0,0
PB,0,50677,0,0
UFPB,0,50677,0,0
Q,0,50670,0,7
IBGE,0,50677,0,0
ONU,0,50675,0,2
CBPO,0,50677,0,0
MSF,0,50677,0,0
ABCD,0,50677,0,0
ECT,0,50677,0,0
AL,0,50677,0,0
RMS,0,50677,0,0
AM,0,50677,0,0
FM,0,50677,0,0
AT,0,50677,0,0
ORTN,0,50677,0,0
OTN,0,50677,0,0
BTN,0,50677,0,0
IPCA,0,50677,0,0
ISO,0,50676,0,1
PE,0,50677,0,0
ES,0,50677,0,0
FF,0,50677,0,0
SOS,0,50677,0,0
TVA,0,50677,0,0
FGTS,0,50677,0,0
IPM,0,50677,0,0
STF,0,50676,0,1
OLP,0,50672,0,5
NBA,0,50674,3,0
HIV,0,50677,0,0
CELS,0,50677,0,0
FG,0,50677,0,0
Z,0,50662,1,14
PAC,0,50677,0,0
MIT,0,50677,0,0
IPTU,0,50675,0,2
JK,0,50677,0,0
PPS,0,50677,0,0
PA,0,50676,0,1
INSS,0,50677,0,0
ODON,0,50677,0,0
FT,0,50677,0,0
CET,0,50677,0,0
CEP,0,50674,0,3
IC,0,50677,0,0
DP,0,50677,0,0
COC,0,50677,0,0
PM,0,50677,0,0
CMTC,0,50677,0,0
IGPM,0,50677,0,0
FGV,0,50677,0,0
TCM,0,50677,0,0
CNTE,0,50677,0,0
CBF,0,50677,0,0
CPI,0,50677,0,0
PSC,0,50677,0,0
RS,0,50676,0,1
RJ,0,50676,0,1
TJD,0,50677,0,0
DKW,0,50677,0,0
EPM,0,50677,0,0
